name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,0.022653678,-0.000463898,0.012445334,1.857529619,0.041,0
up_modulated,0.173054446,-0.000277826,0.035486606,4.884442146,0,1
down_modulated,-0.103401963,0.000881867,0.026014418,-4.008693557,0,-1
non_modulated,-0.000622009,-0.000663344,0.012551929,0.003293115,0.455,0
C000,0.004702487,-0.004618687,0.070203642,0.132773357,0.413,0
C001,-0.075699406,-0.002906242,0.042879603,-1.697617511,0.017,-1
C002,0.091357333,-0.002654288,0.045158261,2.08182554,0.033,0
C003,0.034212079,-0.001624689,0.070002918,0.511932492,0.283,0
C004,0.040032281,-0.002444924,0.082943665,0.512121153,0.28,0
C005,0.004839917,-0.001485662,0.054048064,0.117036181,0.419,0
C006,-0.05529573,0.000956332,0.069602452,-0.808190816,0.19,0
C007,-0.035376884,-0.000679154,0.054456737,-0.637161388,0.261,0
C008,0.010721508,-0.002035059,0.059817508,0.213258084,0.399,0
C009,0.043765316,-0.003384463,0.080927602,0.582616779,0.247,0
C010,0.047190343,-0.001447486,0.072170901,0.673925753,0.216,0
C011,0.257808341,-0.000626844,0.082062942,3.149231306,0.003,1
C012,-0.022355251,-0.003713241,0.074657662,-0.249699892,0.441,0
C013,0.236302742,-0.001266493,0.08079454,2.940412004,0.001,1
C014,0.015037973,0.001861674,0.06958229,0.189362826,0.429,0
C015,-0.021799618,-0.00122102,0.080463973,-0.255749215,0.438,0
C016,-0.016195941,-0.000458294,0.068493951,-0.229766958,0.44,0
C017,-0.029082869,-0.003824554,0.067062111,-0.376640624,0.377,0
C018,0.023959174,-0.002721338,0.076267177,0.349829552,0.33,0
C019,0.065713358,0.000529516,0.070898806,0.91939266,0.184,0
C020,-0.007502313,0.001116292,0.068500829,-0.125817536,0.444,0
C021,0.19719227,-0.000830205,0.077183633,2.56560189,0.01,1
C022,0.225158469,-0.001957845,0.099235929,2.288650037,0.021,1
C023,-0.06266832,-0.004609562,0.06580774,-0.88224817,0.17,0
C024,-0.029728887,-0.001920651,0.06516378,-0.42674376,0.341,0
C025,0.081806527,-0.001229858,0.074055575,1.121271222,0.134,0
C026,-0.058726783,-0.000946076,0.066611768,-0.867424907,0.181,0
C027,-0.003484463,0.00010217,0.084602663,-0.04239386,0.485,0
C028,0.014921034,0.001145247,0.080576618,0.170965068,0.422,0
C029,0.013431934,-0.000930326,0.062537227,0.229659358,0.387,0
C030,-0.034118344,-0.002374478,0.068533463,-0.463187832,0.324,0
C031,0.097645247,-0.000265951,0.082061016,1.193151167,0.094,0
C032,0.000460435,-0.002061512,0.056112871,0.044944171,0.454,0
C033,0.311206484,0.000771388,0.078093404,3.975176878,0,1
C034,0.001363623,0.001495373,0.066740824,-0.001974054,0.497,0
C035,0.018048733,-0.00267046,0.07542607,0.27469538,0.388,0
C036,-0.043047446,-0.002225295,0.048402243,-0.843393772,0.207,0
C037,0.022727177,-0.00100924,0.062867449,0.377562911,0.324,0
C038,-0.029983547,0.000430181,0.066698856,-0.455985759,0.347,0
C039,-0.083204694,0.001997206,0.084570873,-1.007461514,0.166,0
C040,-0.039876849,-0.001783538,0.052168707,-0.730194666,0.235,0
C041,-0.027201109,0.002070366,0.053991268,-0.542152022,0.28,0
C042,0.162170051,0.000334628,0.074428777,2.174366284,0.024,1
C043,-0.009466536,0.004170918,0.069638451,-0.19583223,0.407,0
C044,0.099337683,0.004492723,0.063750009,1.487763867,0.086,0
C045,0.007422895,-0.003085339,0.040694792,0.2582206,0.369,0
C046,0.151351652,0.001178527,0.072079504,2.083437268,0.026,0
C047,-0.073428595,-0.000730519,0.064846536,-1.121078804,0.128,0
C048,-0.087722848,-0.001882705,0.050177738,-1.710721639,0.028,0
C049,-0.05739363,-0.001348765,0.046861662,-1.195964102,0.117,0
C050,-0.046573129,-0.001606238,0.049009556,-0.917512737,0.192,0
C051,-0.003204845,-0.001304685,0.05819455,-0.03265187,0.482,0
C052,0.130180936,-0.002549834,0.066341801,2.000710971,0.018,1
C053,-0.011003418,0.001329648,0.081153113,-0.151972801,0.407,0
C054,0.068328197,-0.003578445,0.062944983,1.142372883,0.15,0
C055,-0.028771913,0.000649125,0.060771302,-0.484127167,0.342,0
C056,0.139875406,0.000805674,0.06564381,2.118550591,0.017,1
C057,-0.067962721,-0.000476171,0.053781638,-1.254825119,0.118,0
C058,-0.125466883,-0.000308521,0.067957658,-1.841710928,0.011,-1
C059,0.177216669,-0.001485422,0.072836752,2.453460441,0.022,1
C060,-0.087551989,0.002323795,0.051575506,-1.742605947,0.034,0
C061,0.048593736,-2.00E-05,0.042649046,1.139855085,0.116,0
C062,0.058631417,-0.002931904,0.035004931,1.758704275,0.038,0
C063,0.383341059,0.002369248,0.070256267,5.422602513,0,1
C064,0.055660413,-0.001726622,0.059679015,0.961594886,0.166,0
C065,-0.052388726,0.001516444,0.019692005,-2.737414019,0.004,-1
C066,-0.064353641,-0.000533996,0.0580541,-1.099313313,0.136,0
C067,-0.016816426,-0.00197963,0.048743697,-0.304383881,0.404,0
C068,-0.066825168,-0.000819327,0.036301511,-1.818267032,0.037,0
C069,0.022349091,0.000909446,0.061402661,0.349164757,0.376,0
C070,-0.007726017,-0.002705961,0.053892058,-0.09315019,0.465,0
C071,-0.015517512,-0.003110556,0.054615841,-0.227167703,0.415,0
C072,-0.045738775,-0.002276756,0.064473203,-0.67410982,0.239,0
C073,-0.072288082,-0.001643039,0.034611232,-2.04110165,0.018,-1
C074,-0.027849604,0.000758218,0.049377054,-0.57937482,0.297,0
C075,0.025645089,0.002781754,0.059659341,0.383231434,0.377,0
C076,0.162052763,-0.003252522,0.043047518,3.840065408,0,1
C077,-0.015914618,-0.000516597,0.04560365,-0.337648876,0.364,0
C078,-0.171729063,-0.000578947,0.051963505,-3.29365998,0.001,-1
C079,0.188033339,0.001371417,0.082899196,2.251673498,0.018,1
C080,-0.020998841,-0.000521668,0.043272183,-0.47321794,0.323,0
C081,0.038206725,-0.003980871,0.044037705,0.957988071,0.173,0
C082,-0.027170456,-0.002011113,0.042342844,-0.594181691,0.286,0
C083,-0.01314784,-0.003146788,0.057486618,-0.17397183,0.444,0
C084,0.031695237,0.00024697,0.044424136,0.707909458,0.246,0
C085,0.199341468,-0.001147377,0.053747753,3.730180953,0.004,1
C086,0.119931427,0.001431601,0.042648921,2.778495296,0,1
C087,0.045517573,0.00132376,0.033046005,1.337342085,0.103,0
C088,0.060706508,-0.001698761,0.03022712,2.064545614,0.015,1
C089,-0.052864265,-0.000488733,0.043107639,-1.214994199,0.105,0
C090,-0.013312562,-0.003460384,0.034926245,-0.282085254,0.386,0
C091,0.042179382,0.000683852,0.047131012,0.880429429,0.188,0
C092,0.064986402,0.000267584,0.041459788,1.561002138,0.067,0
C093,0.145272138,-0.002710812,0.050304029,2.941771315,0.001,1
C094,-0.017402487,-0.003121766,0.024160875,-0.591068038,0.283,0
C095,0.02109571,-0.001968814,0.051959415,0.443894991,0.354,0
C096,-0.034210839,-0.002611573,0.042358894,-0.745988943,0.221,0
C097,0.010098337,0.002441026,0.060765819,0.126013458,0.482,0
C098,-0.133546093,0.003020808,0.035338289,-3.864558944,0,-1
C099,0.029463593,0.000884905,0.04584934,0.623317323,0.287,0
