name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,0.010526403784751892,-0.01369050145149231,0.08235563337802887,0.2940528094768524,0.3400000035762787,0.0
up_modulated,Baseline,0.5467664003372192,-0.025507066398859024,0.26897260546684265,2.127627372741699,0.009999999776482582,1.0
down_modulated,Baseline,-0.658155620098114,0.04746098816394806,0.3216806948184967,-2.193531036376953,0.009999999776482582,-1.0
non_modulated,Baseline,0.017884299159049988,-0.016431335359811783,0.08685969561338425,0.3950697183609009,0.3199999928474426,0.0
C00,Baseline,0.49501287937164307,-0.0959850400686264,0.34879934787750244,1.6943780183792114,0.029999999329447746,0.0
C01,Baseline,0.04659801721572876,0.03952059522271156,0.36504867672920227,0.019387612119317055,0.47999998927116394,0.0
C02,Baseline,-0.658155620098114,0.04746098816394806,0.3216806948184967,-2.193531036376953,0.009999999776482582,-1.0
C03,Baseline,-0.15621310472488403,-0.0286957286298275,0.16908004879951477,-0.7541834115982056,0.1899999976158142,0.0
C04,Baseline,-0.18270531296730042,0.05609053000807762,0.23861275613307953,-1.0007673501968384,0.11999999731779099,0.0
C05,Baseline,0.003673166036605835,-0.025870125740766525,0.21586380898952484,0.13686078786849976,0.46000000834465027,0.0
C06,Baseline,-0.3245788514614105,0.07429203391075134,0.26433977484703064,-1.5089324712753296,0.05000000074505806,0.0
C07,Baseline,-0.11289115250110626,-0.00891186110675335,0.3795657753944397,-0.2739427387714386,0.38999998569488525,0.0
C08,Baseline,0.2719928026199341,-0.01831240952014923,0.27048999071121216,1.0732567310333252,0.12999999523162842,0.0
C09,Baseline,0.546766459941864,-0.025507066398859024,0.2689725458621979,2.1276280879974365,0.009999999776482582,1.0
C10,Baseline,0.08878627419471741,-0.018950551748275757,0.3129066526889801,0.34430980682373047,0.33000001311302185,0.0
C11,Baseline,0.06822717189788818,0.08787848800420761,0.363565593957901,-0.05405163764953613,0.4399999976158142,0.0
C12,Baseline,-0.1598203480243683,-0.05502723529934883,0.23038586974143982,-0.4548591375350952,0.3100000023841858,0.0
C13,Baseline,-0.01227022148668766,-0.032756417989730835,0.19432063400745392,0.10542470961809158,0.46000000834465027,0.0
C14,Baseline,-0.25277507305145264,-0.02284321002662182,0.3108502924442291,-0.7396867871284485,0.1899999976158142,0.0
C15,Baseline,0.03154194355010986,-0.055429477244615555,0.2321953922510147,0.3745613396167755,0.3199999928474426,0.0
C16,Baseline,0.206172913312912,-0.05385935306549072,0.19927693903446198,1.304878830909729,0.03999999910593033,0.0
C17,Baseline,0.2201574444770813,-0.04246953874826431,0.18206502497196198,1.4424899816513062,0.05000000074505806,0.0
