name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Baseline,-0.02603808,-0.011223978,0.11450611799955368,-0.129373893,0.38999998569488525,0
up_modulated,Baseline,,,,,,
down_modulated,Baseline,,,,,,
non_modulated,Baseline,-0.026038066,-0.00954038,0.10564548522233963,-0.156160831,0.38999998569488525,0
C00,Baseline,0.11820194125175476,0.012263458222150803,0.058599062,1.807852864265442,0.17000000178813934,0
C01,Baseline,-0.315886259,-0.026041109,0.1947558969259262,-1.488248348,0.059999999,0
C02,Baseline,-0.645402491,-0.007594458,0.40341973304748535,-1.581003547,0.059999999,0
C06,Baseline,-0.028025188,-0.02722409,0.25419265031814575,-0.003151537,0.44999998807907104,0
C07,Baseline,0.027261138,-0.028348086,0.4687424302101135,0.11863493174314499,0.4099999964237213,0
C08,Baseline,0.2323615550994873,0.068993986,0.43518370389938354,0.37539908289909363,0.44999998807907104,0
C09,Baseline,0.6150009632110596,-0.080571204,0.3898026943206787,1.7844210863113403,0.18000000715255737,0
C10,Baseline,-0.030583128,0.062370401,0.33346953988075256,-0.278746694,0.3100000023841858,0
C11,Baseline,0.28769323229789734,-0.027378125,0.34580186009407043,0.9111325740814209,0.3100000023841858,0
C13,Baseline,-0.018249646,-0.007354568,0.2993636727333069,-0.036394119,0.3799999952316284,0
C14,Baseline,0.096257851,0.005193802,0.3038369119167328,0.2997135818004608,0.47999998927116394,0
C15,Baseline,-0.149559066,-0.01350423,0.2703482210636139,-0.503257692,0.25,0
C16,Baseline,-0.03717491,-0.073236905,0.2620352804660797,0.137622669,0.4699999988079071,0
C18,Baseline,-0.289331347,-0.043003742,0.2109811007976532,-1.167533994,0.090000004,0
