Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C18_mean,C18_sem
-2,0.2035471349954605,0.2953992784023285,0.19506005942821503,-0.028170423,0.506747559,,,,,0.2035471498966217,0.11136706173419952,-0.605292141,0.065940134,-0.352062583,0.077187113,0.3051951825618744,0.17204628884792328,0.4771387577056885,0.2391604632139206,-0.709585667,0.13043087720870972,0.7874972224235535,0.541453481,-0.335707545,0.3764646351337433,-0.290427715,0.37071502208709717,0.976371706,0.7810031771659851,0.38182827830314636,0.3384937047958374,-0.110393286,0.6588940620422363,0.18099991977214813,0.6117783188819885,0.2234107255935669,1.111652135848999,0.4831390380859375,0.23852041363716125
-1.9,0.275395006,0.23108872771263123,0.18805256485939026,-0.0868315,0.510040283,,,,,0.2753950357437134,0.12537430226802826,-0.48607555,0.10335874557495117,-0.219300732,0.081327163,0.6938455700874329,0.16550306975841522,0.4719749391078949,0.2891356647014618,-0.859371662,0.16932140290737152,1.1641534566879272,0.786013126,-0.264493138,0.5335610508918762,-0.367845863,0.4248729944229126,0.9146239161491394,0.39661654829978943,0.5685279965400696,0.31038612127304077,-0.323944837,0.6636996865272522,0.765735388,0.9037415385246277,-0.040133636,0.5232439637184143,0.8807962536811829,0.5808436274528503
-1.8,0.2519552707672119,0.355464906,0.1902560442686081,-0.117779292,0.5559132218360898,,,,,0.2519552409648895,0.13829372823238373,-0.519785404,0.088146806,-0.147273302,0.16775810718536377,0.6199204325675964,0.38679707050323486,0.35235467553138733,0.41649627685546875,-0.788756609,0.15301060676574707,1.4216461181640625,0.9817094802856445,-0.838825285,0.5291474461555481,-0.046868045,0.7126080989837646,0.5159208178520203,0.30552271008491516,0.8471546173095703,0.17901866137981415,-0.498560756,0.6675869226455688,-0.09320911,1.0831165313720703,0.34662559628486633,0.825966477,1.1842819452285767,0.6743427515029907
-1.7,0.10309475660324097,0.37475767731666565,0.17181168496608734,-0.179018128,0.5166909188032147,,,,,0.10309480130672455,0.12995806336402893,-0.502873957,0.10867853462696075,-0.327133745,0.15346677601337433,0.3620547354221344,0.3083808720111847,0.28313490748405457,0.32031071186065674,-0.884795845,0.1293487846851349,1.6280978918075562,1.0406811237335205,-0.269722015,0.4402047097682953,-0.610494077,0.4356578588485718,0.1487995833158493,0.32571175694465637,0.3773167133331299,0.36232370138168335,-0.695052803,0.4635539650917053,0.021536191925406456,0.9643704891204834,0.17731082439422607,1.151038408279419,0.22342967987060547,0.7299394607543945
-1.6,0.19834376871585846,0.34028294682502747,0.17502076923847198,-0.0922079,0.4915569305419921,,,,,0.19834378361701965,0.13969314098358154,-0.586383998,0.071413495,-0.281537026,0.18004493415355682,0.5374393463134766,0.28462597727775574,0.15213748812675476,0.28344956040382385,-0.799191296,0.14986947178840637,1.3350639343261719,0.8883389830589294,-0.601618111,0.20345911383628845,-0.449306101,0.6218807101249695,0.4430980682373047,0.19942551851272583,0.26899316906929016,0.32635051012039185,-0.592540383,0.7493148446083069,0.6689858436584473,0.6870255470275879,0.9067142009735107,0.2301860749721527,0.6167911887168884,0.6808457970619202
-1.5,0.15467561781406403,0.19782225787639618,0.17462722957134247,-0.167259265,0.4898617327213285,,,,,0.15467563271522522,0.1305420696735382,-0.597335041,0.096831642,-0.265966654,0.12831459939479828,0.6381624341011047,0.25653550028800964,0.426847905,0.22296284139156342,-0.791025937,0.10459312796592712,1.1358412504196167,0.7154479622840881,-0.844151795,0.22492307424545288,-0.182419464,0.5712357759475708,0.5302445888519287,0.16141973435878754,0.5109636783599854,0.050614014,-0.262225717,0.43925848603248596,-0.438423008,0.19897599518299103,0.7541417479515076,0.2811513841152191,0.5566559433937073,0.25185757875442505
-1.4,0.2128487229347229,0.14297281205654144,0.16770081222057343,-0.123875118,0.46185451745986916,,,,,0.2128487378358841,0.12338699400424957,-0.587298095,0.086915359,-0.193714306,0.090321317,0.18751578032970428,0.5047709345817566,0.21624751389026642,0.15683573484420776,-0.77990824,0.11513733863830566,1.1535922288894653,0.5847395062446594,-0.500979424,0.33379316329956055,0.094407059,0.3657391369342804,0.4075544774532318,0.2018599510192871,0.001928349,0.21578288078308105,0.012273848056793213,0.4102668762207031,0.22451217472553253,0.3106459677219391,0.34911999106407166,0.10842160880565643,0.5688324570655823,0.3534489870071411
-1.3,0.14961017668247223,0.13225895166397095,0.18245446681976318,-0.132631213,0.481188935,,,,,0.14961020648479462,0.12727521359920502,-0.554103673,0.079832807,-0.044088155,0.24728834629058838,0.6051134467124939,0.49145135283470154,0.12353119999170303,0.19160528481006622,-0.811475933,0.11597255617380142,1.0443999767303467,0.6329140067100525,-0.756830394,0.1799858957529068,-0.259088814,0.5853688716888428,0.4647007882595062,0.3270518481731415,0.8717390894889832,0.32260000705718994,-0.39876318,0.3133687376976013,0.059969973,0.3020040988922119,-0.349360198,0.5730946660041809,0.7626373767852783,0.291869193
-1.2,0.13885517418384552,0.18478213250637054,0.18190138041973114,-0.095330512,0.5127698183059691,,,,,0.1388551890850067,0.11182373762130737,-0.517881811,0.065527625,0.086802341,0.373181552,0.9081317782402039,1.2370165586471558,0.079692431,0.028973830863833427,-0.774667025,0.085062735,0.9242878556251526,0.4284757077693939,-0.726755619,0.3624166250228882,-0.312140971,0.25194600224494934,0.3905656635761261,0.23981520533561707,0.8350203633308411,0.2482009083032608,0.010922367684543133,0.4018571674823761,0.23046083748340607,0.33404719829559326,-0.274826199,0.43408122658729553,0.3114662170410156,0.38531655073165894
