name,epoch,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,Drug,-0.02603808,-0.011223978,0.11450611799955400,-0.129373893,0.38999998569488500,0
up_modulated,Drug,,,,,,
down_modulated,Drug,,,,,,
non_modulated,Drug,-0.026038066,-0.00954038,0.10564548522234000,-0.156160831,0.38999998569488500,0
C00,Drug,0.11820194125175500,0.012263458222150800,0.058599062,1.807852864265440,0.17000000178813900,0
C01,Drug,-0.315886259,-0.026041109,0.1947558969259260,-1.488248348,0.059999999,0
C02,Drug,-0.645402491,-0.007594458,0.40341973304748500,-1.581003547,0.059999999,0
C06,Drug,-0.028025188,-0.02722409,0.25419265031814600,-0.003151537,0.44999998807907100,0
C07,Drug,0.027261138,-0.028348086,0.4687424302101140,0.11863493174314500,0.4099999964237210,0
C08,Drug,0.2323615550994870,0.068993986,0.43518370389938400,0.37539908289909400,0.44999998807907100,0
C09,Drug,0.6150009632110600,-0.080571204,0.3898026943206790,1.7844210863113400,0.18000000715255700,0
C10,Drug,-0.030583128,0.062370401,0.33346953988075300,-0.278746694,0.3100000023841860,0
C11,Drug,0.28769323229789700,-0.027378125,0.34580186009407000,0.9111325740814210,0.3100000023841860,0
C13,Drug,-0.018249646,-0.007354568,0.2993636727333070,-0.036394119,0.3799999952316280,0
C14,Drug,0.096257851,0.005193802,0.3038369119167330,0.2997135818004610,0.47999998927116400,0
C15,Drug,-0.149559066,-0.01350423,0.2703482210636140,-0.503257692,0.25,0
C16,Drug,-0.03717491,-0.073236905,0.2620352804660800,0.137622669,0.4699999988079070,0
C18,Drug,-0.289331347,-0.043003742,0.2109811007976530,-1.167533994,0.090000004,0
