name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,-0.012418009026733678,-0.007114395535654306,0.036849307826466636,-0.14392708585071728,0.431,0.0
up_modulated,,,,,,
down_modulated,-0.2995581962409076,0.004690346877220553,0.1440802104020897,-2.1116608746548264,0.02,-1.0
non_modulated,0.0026946320463263063,-0.00773569761577898,0.039208617210352695,0.26602135969618557,0.40800000000000003,0.0
C00,0.035417304100938796,-0.01935714716605872,0.10138268260281022,0.540274234817685,0.265,0.0
C01,-0.2995581962409076,0.004690346877220547,0.14408021040208965,-2.1116608746548273,0.02,-1.0
C02,-0.13958668712838398,-0.004945444553865865,0.14348477590010308,-0.938366051240572,0.182,0.0
C03,-0.09162809079999051,-0.017714512195858997,0.12443244872960191,-0.5940056581603527,0.25,0.0
C04,0.034154829409682896,0.0068917701174917275,0.1349502095624471,0.20202309711549882,0.43300000000000005,0.0
C05,0.07511695608245589,0.0029167945700921106,0.13557358796865088,0.5325532988701225,0.28900000000000003,0.0
C06,0.044232570510310175,0.002078245944673836,0.12918544238965773,0.3263086287887427,0.404,0.0
C07,0.17347925490930355,0.006417177057223647,0.14446182061247073,1.1564444996179024,0.122,0.0
C08,-0.014776133304479355,-0.009716061749239186,0.10409612828576947,-0.04860960382070146,0.474,0.0
C09,0.05644669300996256,-0.009396054301052666,0.10253822771595145,0.6421287823835904,0.27,0.0
C10,-0.06106498457789186,-0.010234698461704415,0.11746053523421898,-0.4327435254303133,0.363,0.0
C11,-0.07962676027109467,0.006561660346223026,0.11710100593822206,-0.7360177645509497,0.229,0.0
C12,-0.05693576990148322,-0.01772403560722219,0.09112232019598245,-0.4303197527227787,0.317,0.0
C13,0.00032329282356238775,0.011163392250821462,0.10689118316016882,-0.10141247488126273,0.45,0.0
C14,-0.004966325359054044,-0.01105990643294868,0.11720905985811887,0.05198899369443704,0.471,0.0
C15,-0.040311218581679104,-0.0174775254281307,0.08953430337857925,-0.25502731681510216,0.394,0.0
C16,-0.0015985953149336117,-0.019136779704008997,0.09451824688310007,0.18555342452306134,0.44299999999999995,0.0
C17,-0.008412316382780893,-0.020937077793409826,0.10046252614450293,0.1246709782373341,0.482,0.0
C18,-0.019361423623389017,-0.01885765209940225,0.09667451663897277,-0.005211006390319824,0.498,0.0
C19,0.15029541327914392,-0.00645039949342385,0.12335812792726315,1.2706565461579582,0.10299999999999998,0.0
