name,true_mean_post-pre,shuffled_mean_post-pre,shuffled_std_post-pre,z-score,p-value,modulation
population,-0.008171089227078886,0.0003329077580507027,0.030426457706636472,-0.2794934943503048,0.35,0.0
up_modulated,,,,,,
down_modulated,,,,,,
non_modulated,-0.008171090001310347,0.00033290766237355424,0.030426457571336756,-0.2794935178946067,0.35,0.0
C00,0.13543258114349685,-0.011392669389954762,0.10144859819192911,1.4472871301353527,0.040000000000000036,0.0
C01,-0.07190717727454671,-0.00419220634793876,0.08882021735252156,-0.7623824050987368,0.23,0.0
C02,-0.08137931172685268,-0.01013803421553445,0.1046418184011769,-0.6808107752695264,0.23,0.0
C03,-0.06832829875752527,0.024271128864051007,0.10740308307827487,-0.862167313708213,0.18,0.0
C04,-0.004998302557641443,-0.0033327028211609035,0.09111147235847557,-0.0182809002353434,0.5,0.0
C05,0.1472478480056115,-0.014218295055901598,0.1053357207423637,1.5328716785110008,0.06000000000000005,0.0
C06,0.034208982594340784,-0.002136732391986825,0.08780485812266792,0.4139374035039243,0.35,0.0
C07,0.12790340907539446,0.008680891722393603,0.11747371213346293,1.0148867792442884,0.16000000000000003,0.0
C08,-0.08488946241617368,-0.0070741015128455405,0.07993403953914588,-0.9734946632494387,0.19,0.0
C09,-0.01127393046928343,-0.002862714032351154,0.0746359338453321,-0.11269660609275452,0.42,0.0
C10,-0.019908433568010545,0.015589629141795085,0.07300074836618521,-0.48626984660130884,0.37,0.0
C11,-0.07999466882510818,0.0013579285200571868,0.08971937665132654,-0.9067450129677482,0.22,0.0
C12,-0.015774236622862106,0.00718871224274637,0.0655620039578882,-0.3502478185437718,0.39,0.0
C13,0.005487012710890721,0.006052804123292796,0.07647028429980025,-0.007398840184559814,0.47,0.0
C14,-0.07213668302711942,0.014861076491317555,0.08573396892222215,-1.0147408385742802,0.21,0.0
C15,-0.023507767646872207,0.004119205171747329,0.08065295539495913,-0.3425413573914272,0.38,0.0
C16,-0.09982890763161056,0.004063242534386413,0.08577990542324572,-1.211147874940918,0.12,0.0
C17,-0.12984148671223159,-0.005753739922919205,0.09423738957516097,-1.3167570467382657,0.08,0.0
C18,0.0031990866020481998,0.008670350397459399,0.07659828051739462,-0.0714280236900192,0.49,0.0
C19,0.1468679470778483,-0.027095620271182445,0.10146926789791444,1.7144458706852101,0.06000000000000005,0.0
